Room,Room Type,Status,Gender,Deposit Number,Warnings
201,DOUBLE,TAKEN,M,27162,
201,DOUBLE,TAKEN,M,27167,
202,SUITE,TAKEN,M,25322,
202,SUITE,TAKEN,M,26075,
203,DOUBLE,TAKEN,M,25797,
203,DOUBLE,AVAILABLE,,,
204,DOUBLE,AVAILABLE,,,
204,DOUBLE,AVAILABLE,,,
205,SUITE,AVAILABLE,,,
205,SUITE,AVAILABLE,,,
206,SINGLE,AVAILABLE,,,
207,SINGLE,AVAILABLE,,,
208,DOUBLE,AVAILABLE,,,
208,DOUBLE,AVAILABLE,,,
209,TRIPLE,TAKEN,M,27173,
209,TRIPLE,TAKEN,M,27426,
209,TRIPLE,AVAILABLE,,,
210,TRIPLE,TAKEN,M,27585,
210,TRIPLE,TAKEN,M,27622,
210,TRIPLE,AVAILABLE,,,
211,TRIPLE,TAKEN,F,27453,
211,TRIPLE,TAKEN,F,27541,
211,TRIPLE,AVAILABLE,,,
212,DOUBLE,AVAILABLE,,,
212,DOUBLE,AVAILABLE,,,
213,SUITE,AVAILABLE,,,
213,SUITE,AVAILABLE,,,
214,DOUBLE,AVAILABLE,,,
214,DOUBLE,AVAILABLE,,,
215,DOUBLE,AVAILABLE,,,
215,DOUBLE,AVAILABLE,,,
216,SUITE,TAKEN,F,27394,
216,SUITE,TAKEN,F,27159,
217,SINGLE,AVAILABLE,,,
218,SINGLE,TAKEN,M,25415,
219,DOUBLE,AVAILABLE,,,
219,DOUBLE,AVAILABLE,,,
220,TRIPLE,AVAILABLE,,,
220,TRIPLE,AVAILABLE,,,
220,TRIPLE,AVAILABLE,,,
221,TRIPLE,TAKEN,F,27456,
221,TRIPLE,TAKEN,F,27542,
221,TRIPLE,TAKEN,F,27570,
222,TRIPLE,TAKEN,M,27484,
222,TRIPLE,AVAILABLE,,,
222,TRIPLE,AVAILABLE,,,
301,DOUBLE,AVAILABLE,,,
301,DOUBLE,AVAILABLE,,,
302,SUITE,AVAILABLE,,,
302,SUITE,AVAILABLE,,,
303,DOUBLE,TAKEN,F,27385,
303,DOUBLE,AVAILABLE,,,
304,DOUBLE,TAKEN,M,25911,
304,DOUBLE,TAKEN,M,25912,
305,SUITE,TAKEN,M,25865,
305,SUITE,TAKEN,F,27139,
306,SINGLE,TAKEN,M,25055,
