Deposit Number/Group Number,Time,Completed
25734,4:00 PM on 10/17/23,FALSE
25851,4:03 PM on 10/17/23,FALSE
26050,4:06 PM on 10/17/23,FALSE
25909,4:09 PM on 10/17/23,FALSE
25848,4:12 PM on 10/17/23,FALSE
25864,4:15 PM on 10/17/23,FALSE
25916,4:18 PM on 10/17/23,FALSE
26039,4:21 PM on 10/17/23,FALSE
25985,4:24 PM on 10/17/23,FALSE
26097,4:27 PM on 10/17/23,FALSE
27159,4:30 PM on 10/17/23,FALSE
27216,4:33 PM on 10/17/23,FALSE
27215,4:36 PM on 10/17/23,FALSE
27256,4:39 PM on 10/17/23,FALSE
27278,4:42 PM on 10/17/23,FALSE
27286,4:45 PM on 10/17/23,FALSE
27332,4:48 PM on 10/17/23,FALSE
27312,4:51 PM on 10/17/23,FALSE
27246,4:54 PM on 10/17/23,FALSE
27354,4:57 PM on 10/17/23,FALSE
27366,5:00 PM on 10/17/23,FALSE
27423,5:03 PM on 10/17/23,FALSE
27424,5:06 PM on 10/17/23,FALSE
27446,5:09 PM on 10/17/23,FALSE
27466,5:12 PM on 10/17/23,FALSE
27467,5:15 PM on 10/17/23,FALSE
27468,5:18 PM on 10/17/23,FALSE
27471,5:21 PM on 10/17/23,FALSE
27474,5:24 PM on 10/17/23,FALSE
27475,5:27 PM on 10/17/23,FALSE
27480,5:30 PM on 10/17/23,FALSE
27481,5:33 PM on 10/17/23,FALSE
27482,5:36 PM on 10/17/23,FALSE
27483,5:39 PM on 10/17/23,FALSE
27488,5:42 PM on 10/17/23,FALSE
27493,5:45 PM on 10/17/23,FALSE
27495,5:48 PM on 10/17/23,FALSE
27496,5:51 PM on 10/17/23,FALSE
27497,5:54 PM on 10/17/23,FALSE
27498,5:57 PM on 10/17/23,FALSE
27499,6:00 PM on 10/17/23,FALSE
27506,6:03 PM on 10/17/23,FALSE
27509,6:06 PM on 10/17/23,FALSE
27511,6:09 PM on 10/17/23,FALSE
27513,6:12 PM on 10/17/23,FALSE
27516,6:15 PM on 10/17/23,FALSE
27518,6:18 PM on 10/17/23,FALSE
27520,6:21 PM on 10/17/23,FALSE
27521,6:24 PM on 10/17/23,FALSE
27522,6:27 PM on 10/17/23,FALSE
27523,6:30 PM on 10/17/23,FALSE
27524,6:33 PM on 10/17/23,FALSE
27528,6:36 PM on 10/17/23,FALSE
27530,6:39 PM on 10/17/23,FALSE
27531,6:42 PM on 10/17/23,FALSE
27532,6:45 PM on 10/17/23,FALSE
27533,6:48 PM on 10/17/23,FALSE
27536,6:51 PM on 10/17/23,FALSE
27537,6:54 PM on 10/17/23,FALSE
27538,6:57 PM on 10/17/23,FALSE
27544,7:00 PM on 10/17/23,FALSE
27547,7:03 PM on 10/17/23,FALSE
27549,7:06 PM on 10/17/23,FALSE
27553,7:09 PM on 10/17/23,FALSE
27554,7:12 PM on 10/17/23,FALSE
27555,7:15 PM on 10/17/23,FALSE
27558,7:18 PM on 10/17/23,FALSE
27559,7:21 PM on 10/17/23,FALSE
27560,7:24 PM on 10/17/23,FALSE
27562,7:27 PM on 10/17/23,FALSE
27565,7:30 PM on 10/17/23,FALSE
